Year,Month,Day,Hour,Minute,Seconds,Subject,Experiment,Trial,Distractor_num,Distractor_size,Setup_time(s),Inspection_time(s),Search_time(s),Input_time(s),Accuracy
2019,5,30,14,27,37.312,13,2,3,8,0.5,2.2641,1.3277,10.302,2.1196,1
2019,5,30,14,28,3.824,13,2,4,6,1.5,1.4389,1.4303,10.814,2.1066,1
2019,5,30,14,28,40.672,13,2,5,8,1.5,1.5188,2.5181,20.664,2.0568,1
2019,5,30,14,29,0.593,13,2,6,6,0.25,1.5112,2.1107,3.4643,2.1501,1
2019,5,30,14,29,32.775,13,2,7,8,0.75,1.124,1.1822,11.976,2.1405,1
2019,5,30,14,29,56.258,13,2,8,4,1.25,1.1722,2.6196,7.4779,1.846,1
2019,5,30,14,30,16.658,13,2,9,4,1.5,1.999,2.0113,3.9715,2.2501,1
2019,5,30,14,30,50.536,13,2,10,4,0.75,1.492,1.3568,16.313,2.0641,1
2019,5,30,14,31,23.615,13,2,11,6,0.75,1.8786,2.0727,17.055,1.9084,1
2019,5,30,14,31,46,13,2,12,8,0.25,1.1544,1.4983,5.9712,2.1765,1
2019,5,30,14,32,6.147,13,2,13,8,1.25,1.6193,1.6339,4.9586,1.7841,1
2019,5,30,14,32,39.51,13,2,14,6,1.75,1.4129,1.4509,19.056,1.4342,1
2019,5,30,14,33,4.323,13,2,15,8,1.75,1.6266,1.5406,7.9337,2.3565,1
2019,5,30,14,33,25.823,13,2,16,4,1.75,1.3434,1.2379,5.871,2.2534,1
2019,5,30,14,33,45.929,13,2,17,6,0.5,1.7124,1.6641,4.5553,1.874,1
2019,5,30,14,34,4.155,13,2,18,4,0.25,2.4077,1.3794,2.419,1.8484,1
2019,5,30,15,12,0.371,14,2,1,4,0.5,1.6929,1.1502,9.1365,1.8758,1
2019,5,30,15,12,19.608,14,2,2,4,0.25,1.8745,1.18,3.0032,2.3538,1
2019,5,30,15,12,48.851,14,2,3,8,0.25,1.71,2.9632,5.6509,2.2209,1
2019,5,30,15,13,51.374,14,2,4,8,1.75,2.2083,1.1933,46.143,2.1557,1
2019,5,30,15,14,12.319,14,2,5,6,0.5,1.6094,1.1459,5.5974,1.9193,1
2019,5,30,15,14,40.266,14,2,6,6,1.25,1.591,1.1743,12.53,2.1278,0
2019,5,30,15,15,35.253,14,2,7,4,1.25,1.2306,1.421,39.126,2.342,0
2019,5,30,15,16,4.974,14,2,8,4,1.5,2.1423,1.4109,13.64,1.9509,1
2019,5,30,15,17,12.732,14,2,9,8,1.25,1.7938,1.4172,51.548,2.2093,1
2019,5,30,15,17,36.001,14,2,10,8,0.75,1.2273,1.2041,8.4202,1.7992,1
2019,5,30,15,18,5.998,14,2,11,4,0.75,1.8284,1.1536,13.603,2.2432,1
2019,5,30,15,18,25.053,14,2,12,8,0.5,1.1292,1.4452,3.5659,2.8469,1
2019,5,30,15,18,46.744,14,2,13,4,1.75,1.4718,1.5369,4.571,2.3526,1
2019,5,30,15,19,12.648,14,2,14,6,0.75,2.2291,1.4527,1.8349,6.8738,1
2019,5,30,15,19,36.891,14,2,15,6,0.25,4.5235,1.9843,3.0941,2.9745,1
2019,5,30,15,20,4.726,14,2,16,6,1.75,4.855,1.5042,7.7823,2.4818,1
2019,5,30,15,20,27.177,14,2,17,6,1.5,1.8461,1.2708,5.1692,2.0225,1
2019,5,30,15,20,59.442,14,2,18,8,1.5,3.3536,1.8314,14.952,2.2224,1
2019,5,30,16,21,17.937,15,2,1,6,1.25,3.1834,1.3165,37.101,2.8058,1
2019,5,30,16,21,48.908,15,2,2,6,0.5,2.3812,1.5885,8.9212,2.1437,1
2019,5,30,16,22,16.287,15,2,3,6,0.25,1.5365,1.2373,6.4616,2.1262,1
2019,5,30,16,22,39.089,15,2,4,4,0.25,1.3456,1.2562,5.8289,3.1841,1
2019,5,30,16,23,20.872,15,2,5,8,0.75,2.1801,1.5313,24.78,2.0759,1
2019,5,30,16,23,48.265,15,2,6,8,0.5,1.6642,1.1691,10.981,2.7681,1
2019,5,30,16,24,21.536,15,2,7,8,1.75,1.7103,1.4619,17.189,2.096,1
2019,5,30,16,24,52.683,15,2,8,6,1.5,2.2341,1.4381,14.16,2.3829,1
2019,5,30,16,25,18.302,15,2,9,6,1.75,1.3586,1.9861,9.7462,1.8239,1
2019,5,30,16,25,52.051,15,2,10,4,0.75,1.274,1.945,18.074,2.0697,1
2019,5,30,16,26,37.765,15,2,11,8,1.25,1.9947,1.2296,29.192,2.3521,1
2019,5,30,16,27,25.432,15,2,12,6,0.75,1.5131,1.263,31.171,2.098,1
2019,5,30,16,27,57.815,15,2,13,8,1.5,11.818,4.8526,2.5896,2.0838,1
2019,5,30,16,29,5.172,15,2,14,4,0.5,1.1596,1.6283,13.534,1.8758,1
2019,5,30,16,29,36.942,15,2,15,4,1.25,1.7504,1.4928,15.624,1.8317,1
2019,5,30,16,30,0.232,15,2,16,8,0.25,7.5431,1.8177,1.664,2.0855,1
2019,5,30,16,30,44.848,15,2,17,4,1.5,2.3661,1.4845,18.967,2.1221,1
2019,5,30,16,31,18.153,15,2,18,4,1.75,1.5502,1.338,17.52,2.1362,1
2019,5,31,9,15,38.754,16,2,1,4,0.5,1.4264,1.7174,7.9644,3.3769,1
2019,5,31,9,16,4.555,16,2,2,6,1.75,1.526,1.1714,11.954,2.7051,1
2019,5,31,9,16,24.714,16,2,3,4,0.25,1.9922,1.688,5.5224,2.9102,1
2019,5,31,9,16,59.75,16,2,4,8,0.75,1.4045,1.1592,21.306,3.6698,1
2019,5,31,9,17,23.316,16,2,5,6,1.5,1.5464,1.7404,8.6303,3.1426,1
2019,5,31,9,17,49.891,16,2,6,4,1.75,1.7495,2.4895,13.069,2.4713,1
2019,5,31,9,18,15.073,16,2,7,6,0.5,1.6861,1.2701,10.716,4.1058,1
2019,5,31,9,18,46.701,16,2,8,4,1.25,1.3668,1.4579,18.651,3.2813,0
2019,5,31,9,19,14.762,16,2,9,8,1.5,1.5835,13.66,1.3655,3.8244,1
2019,5,31,9,19,51.627,16,2,10,8,1.25,1.5674,1.1748,22.054,3.0528,0
2019,5,31,9,20,13.158,16,2,11,6,1.25,1.3806,1.4224,8.7562,2.5435,1
2019,5,31,9,20,37.883,16,2,12,6,0.25,1.1076,1.4172,10.634,2.9079,1
2019,5,31,9,21,0.041,16,2,13,8,0.25,1.1437,1.319,8.5858,3.6602,1
2019,5,31,9,21,31.3,16,2,14,6,0.75,1.7489,1.2227,17.731,2.9115,1
2019,5,31,9,21,54.922,16,2,15,4,0.75,1.6974,1.9705,9.8901,2.5686,1
2019,5,31,9,22,19.232,16,2,16,8,1.75,1.1084,1.8042,11.99,2.3186,1
2019,5,31,9,22,45.171,16,2,17,4,1.5,1.7666,2.1659,11.983,2.5507,1
2019,5,31,9,23,16.115,16,2,18,8,0.5,1.7676,1.4849,17.025,3.0068,1
2019,5,31,10,31,20.767,17,2,1,8,0.75,2.7671,1.4335,70.564,2.6267,1
2019,5,31,10,31,58.453,17,2,2,4,1.75,2.6165,2.4182,16.51,3.1577,1
2019,5,31,10,32,25.253,17,2,3,4,1.5,1.1894,1.789,8.3563,2.856,1
2019,5,31,10,33,26.636,17,2,4,4,0.75,1.2979,1.5015,43.545,2.6715,1
2019,5,31,10,34,43.857,17,2,5,4,1.25,1.6904,2.1555,59.844,2.8107,1
2019,5,31,10,35,15.723,17,2,6,4,0.5,1.7104,1.4561,12.461,3.2063,1
2019,5,31,10,35,44.845,17,2,7,6,0.5,1.705,2.4249,11.053,2.3967,1
2019,5,31,10,36,42.328,17,2,8,6,1.5,1.4223,1.3619,25.884,2.4492,1
2019,5,31,10,37,29.639,17,2,9,8,1.5,1.8366,2.2172,26.224,2.9056,1
2019,5,31,10,37,59.414,17,2,10,4,0.25,1.4411,1.6344,11.668,2.4459,1
2019,5,31,10,39,28.683,17,2,11,6,1.25,1.2787,1.5914,71.05,2.4522,1
